"","feature","enrich_group","ef_lda","pvalue","padj"
"marker1","K01190","Healthy","2.850453","0.010577765","0.010577765"
"marker2","K05349","Healthy","2.712040","0.045587340","0.045587340"
"marker3","K02500","Healthy","2.563535","0.005905392","0.005905392"
"marker4","K07114","Healthy","2.560748","0.029298294","0.029298294"
"marker5","K01187","Healthy","2.522926","0.015297762","0.015297762"
"marker6","K03497","Healthy","2.508008","0.047388946","0.047388946"
"marker7","K21571","Healthy","2.475398","0.034523628","0.034523628"
"marker8","K01785","Healthy","2.450426","0.037422151","0.037422151"
"marker9","K06142","Healthy","2.359207","0.042156903","0.042156903"
"marker10","K01812","Healthy","2.298677","0.043843799","0.043843799"
"marker11","K06871","Healthy","2.296262","0.043843799","0.043843799"
"marker12","K20265","Healthy","2.292958","0.031819101","0.031819101"
"marker13","K00991","Healthy","2.291562","0.042156903","0.042156903"
"marker14","K01950","Healthy","2.278480","0.024768336","0.024768336"
"marker15","K01689","Healthy","2.248898","0.010089884","0.010089884"
"marker16","K03564","Healthy","2.242745","0.025839866","0.025839866"
"marker17","K04762","Healthy","2.233951","0.034523628","0.034523628"
"marker18","K03281","Healthy","2.228507","0.011616891","0.011616891"
"marker19","K03781","Healthy","2.213516","0.021781463","0.021781463"
"marker20","K09807","Healthy","2.195580","0.020858046","0.020858046"
"marker21","K01681","Healthy","2.192196","0.045587340","0.045587340"
"marker22","K04564","Healthy","2.176237","0.038947456","0.038947456"
"marker23","K01923","Healthy","2.130036","0.038947456","0.038947456"
"marker24","K01192","Healthy","2.113488","0.033144761","0.033144761"
"marker25","K00764","Healthy","2.086257","0.037422151","0.037422151"
"marker26","K08961","Healthy","2.053425","0.024765874","0.024765874"
"marker27","K02919","Psoriasis","2.787639","0.001653656","0.001653656"
"marker28","K03569","Psoriasis","2.220760","0.038947456","0.038947456"
"marker29","K01784","Psoriasis","2.206463","0.017497122","0.017497122"
"marker30","K00773","Psoriasis","2.074849","0.028103662","0.028103662"
"marker31","K02108","Psoriasis","2.073984","0.045587340","0.045587340"
"marker32","K02469","Psoriasis","2.048273","0.028103662","0.028103662"
"marker33","K02012","Psoriasis","2.010099","0.029143642","0.029143642"
"marker34","K17320","Psoriasis","2.002522","0.020836219","0.020836219"
