"","Family_control","Healthy","Psoriasis"
"num.edges(L)","5034","7707","1711"
"num.pos.edges","5025","7660","1711"
"num.neg.edges","9","47","0"
"num.vertices(n)","504","664","451"
"Connectance(edge_density)","0.0397140963741361","0.035013356593796","0.0168612958856861"
"average.degree(Average K)","19.9761904761905","23.2138554216867","7.58758314855876"
"average.path.length","6.26717116873662","4.86064395387421","1.45313079997029"
"diameter","21.9618618444639","21.2841978711046","6.08174549221437"
"edge.connectivity","0","0","0"
"mean.clustering.coefficient(Average.CC)","0.856856908534518","0.838016236151736","0.929575913258727"
"no.clusters","49","60","78"
"centralization.degree","0.121319700842564","0.117324501626415","0.0475831485587583"
"centralization.betweenness","0.0884452980095534","0.0444711338658621","0.00445831793296595"
"centralization.closeness","0.938148299133677","0.997534010416923","0.251900403080704"
"RM(relative.modularity)","2.6475358601236","3.63360160031995","2.35400179890584"
"the.number.of.keystone.nodes","Not.calculated","Not.calculated","Not.calculated"
