"","Family_control","Psoriasis"
"num.edges(L)","5034","3385"
"num.pos.edges","5025","3382"
"num.neg.edges","9","3"
"num.vertices(n)","504","507"
"Connectance(edge_density)","0.0397140963741361","0.0263894411051602"
"average.degree(Average K)","19.9761904761905","13.353057199211"
"average.path.length","6.26717116873662","4.3005850471223"
"diameter","21.9618618444639","12.6526015017564"
"edge.connectivity","0","0"
"mean.clustering.coefficient(Average.CC)","0.856856908534518","0.869735543637473"
"no.clusters","49","48"
"centralization.degree","0.121319700842564","0.0408042347841679"
"centralization.betweenness","0.0884452980095534","0.0462024465644555"
"centralization.closeness","0.938148299133677","0.676551970224492"
"RM(relative.modularity)","2.6475358601236","3.53394369275256"
"the.number.of.keystone.nodes","Not.calculated","Not.calculated"
