"Species","Index","Correlation","P_value"
"SGB4348","Lymphocytes",0.412244811763233,0.045306163065588
"SGB4348","CD4",0.444713369947455,0.029451314636499
"SGB4348","CD8",-0.0426111126233589,0.843282593902097
"SGB4348","FOXP3",-0.0961713236646747,0.654854305065715
"SGB4348","IFNg",0.204649092356966,0.373538141333322
"SGB4348","TNFalpha",0.325997999719786,0.149251504820825
"SGB4348","IL.17",-0.294053944578813,0.195720040812877
"SGB4348","BSA",0.128435475731763,0.227656455928116
"SGB4348","PASI",0.154529499594858,0.145875858646605
"SGB4348","VAS",-0.156833778750327,0.191502310568001
"SGB4348","IL17Foxp3ratio",0.0597234148984752,0.802497498507842
